Titles,Ratings,Number_Of_Ratings,Prices,Durations,Tour_Provider
"Notre Dame, Sainte-Chapelle, and Conciergerie Walking Tour",Excellent,1 rating,£21,2-3 hours,Viator
The Best Of Paris by E-Scooter,Excellent,1 rating,£13,2 hours,Viator
Tour Paris Illuminated,Excellent,1 rating,£14,2 hours,Viator
E-Scooter Rental with Audioguide included,Excellent,1 rating,£12,1 hour,Viator
Eiffel Tower Skip the Line Ticket by Elevator,Excellent,1 rating,£34,1 hour,Viator
Louvre Museum Guided Tour with Skip-the-line Tickets,Excellent,1 rating,£51,2 hours,Viator
Paris City Tour with Seine River Cruise,Excellent,1 rating,£49,2 hours,Viator
Louvre & Tuileries Walking Tour with Skip The Line Ticket Option,Excellent,1 rating,£14,1 hour,Viator
Paris 1920: Lost Generation Writers of the Left Bank (Small Group Walking Tour),Excellent,1 rating,£43,2 hours,Viator
Paris Seine Cruise and Marais district Walking Tour,Excellent,1 rating,£20,1-2 hours,Viator
Beyond the museum: An outdoor podcast walk of the Louvre & Tuileries Gardens,Excellent,1 rating,£7,45-60 minutes,Viator
Paris Far from the Crowd Summer Night Tour with a Local Guide,Excellent,1 rating,£26,1-2 hours,Viator
Serial Killers. The Darkest Secrets of Paris 2,Excellent,1 rating,£28,2 hours,Viator
Montmartre Guided Tour with Sacré Cœur Church and City views,Excellent,1 rating,£42,2-3 hours,Viator
Paris: Invalides Dome - Skip-the-Line Guided Museum Tour,Excellent,1 rating,£71,1-2 hours,GetYourGuide
Paris: Bus Toqué Tour with 5-Course Dinner and Champagne,Excellent,1 rating,£87,2 hours,GetYourGuide
Private Wine and Cheese Tasting in Paris,Excellent,1 rating,£107,2 hours,GetYourGuide
Discount Couture: The Ultimate Paris Shopping Tour,Excellent,1 rating,£94,3 hours,GetYourGuide
Orsay Museum: Child-Friendly Private Tour for Families,Excellent,1 rating,£71,2 hours,GetYourGuide
Lifestyle Tour of Saint-Germain-des-Prés,Excellent,1 rating,£75,2-3 hours,GetYourGuide
Versailles Palace Private Family Tour Designed for Kids,Excellent,1 rating,£75,2 hours,GetYourGuide
Paris: The Ultimate Wine and Cheese Tasting,Excellent,1 rating,£84,2 hours,GetYourGuide
Private transfer from CDG airport to DisneyLand Paris,Excellent,1 rating,£85,30-45 minutes,Viator
Marmottan Monet Museum Exclusive Guided Skip the Line Visit,Excellent,1 rating,£85,1-2 hours,Viator
Montmartre Semi Private Walking Tour MAX 6 PEOPLE Guaranteed,Excellent,1 rating,£67,1-2 hours,Viator
"Skip the Line Tickets: Eiffel Tower, Seine River Cruise, and Louvre Museum",Excellent,1 rating,£86,1-2 hours,Viator
"Paris at Christmas with The Louvre, Champs Elysees & Arc de Triomphe",Excellent,1 rating,£104,7 hours,Viator
Paris Like a Local: Customized Private Tour,Excellent,1 rating,£55,2-6 hours,Viator
Segway tour Capital sites,Excellent,1 rating,£59,1-2 hours,Viator
Chic and Classic: Saint-Germain-des-Prés Walking Tour,Excellent,1 rating,£76,2-3 hours,Viator
Eiffel Tower Tour to 1st and 2nd Floor including Summit Access in Paris,Excellent,1 rating,£77,2 hours,Viator
Small-Group Skip-the-Line Eiffel Tower Tour with Summit Access,Excellent,1 rating,£76,2 hours,Viator
Private transfer from PARIS city to CDG airport,Excellent,1 rating,£88,30-90 minutes,Viator
Montmartre Exclusive Impressionist Small Group Walking Tour,Excellent,1 rating,£77,2 hours,Viator
Experience Segways in Paris 90 min,Excellent,1 rating,£65,1-2 hours,Viator
Paris: Orsay Art Museum Tour,Excellent,1 rating,£76,2 hours,Viator
Best Paris Experience,Excellent,1 rating,£76,2-3 hours,Viator
Paris Night Segway tour,Excellent,1 rating,£81,2 hours,Viator
Musée d'Orsay Impressionists Semi-Private Guided Tour,Excellent,1 rating,£82,1-2 hours,Viator
Skip-the-line Les Invalides World War Museum Guided Tour - Private Tour,Excellent,1 rating,£89,2 hours,Viator
"Discover Paris in Electric Golfettes, 5 places, ecological!",Excellent,1 rating,£92,1 hour,Viator
Private Napoleon Bonaparte and Les Invalides 2-Hour Guided Tour in Paris,Excellent,1 rating,£63,2 hours,Viator
Stories in the Heart of the City,Excellent,1 rating,£98,2-3 hours,Viator
Paris Romance Walking Tour of Montmartre,Excellent,1 rating,£63,2 hours,Viator
Scandals: Louvre (Semi-Private) With Skip-The-Line Access,Excellent,1 rating,£86,3 hours,Viator
Eiffel Tower Summit Skip the Line Access and Immersive Paris Tour & Cruise,Excellent,1 rating,£86,3 hours,Viator
"4 hours to see the Best, EXPLORE FOOD TOURS.",Excellent,1 rating,£88,4 hours,Viator
Paris: Dinner Tour with Renowned Food Expert,Excellent,1 rating,£183,3 hours,GetYourGuide
"Paris Private Custom Tour with a Local, Must Sees & Off-the-Beaten-Path ★★★★★",Excellent,1 rating,£160,3 hours,Viator
Secret Passages and Châtelet. Private Tour,Excellent,1 rating,£161,2-3 hours,Viator
Montmartre The Private Food Tasting Tour with a French Gastronomy Expert,Excellent,1 rating,£128,3 hours,Viator
Private Half-Day Sightseeing Tour in Paris,Excellent,1 rating,£131,4 hours,Viator
Private Guided Louvre Tour with skip-the-line Tickets,Excellent,1 rating,£139,2-3 hours,Viator
Highlights of the Louvre Private Tour,Excellent,1 rating,£153,2 hours,Viator
Eiffel Tower Summit Floor Access & Lunch Cruise,Excellent,1 rating,£119,4 hours,Viator
Discover the Latin quarter,Excellent,1 rating,£128,2-3 hours,Viator
Champagne Tour with Epernay & Champagne Tastings in a Local Vineyard from Paris,Excellent,1 rating,£160,8-10 hours,Viator
No Fat No Fun - A Pastry Chef's Sweet Secrets of Paris,Excellent,1 rating,£113,3 hours,Viator
Fall in love with Paris in 3 hours,Excellent,1 rating,£128,2-3 hours,Viator
Off-The-Beaten-Track Private Walking Tour,Excellent,1 rating,£196,2-3 hours,Viator
1:30 hours tour of Louvre museum,Excellent,1 rating,£179,1-2 hours,Viator
Latin Quarter 2-Hour Private Walking Tour,Excellent,1 rating,£173,2 hours,Viator
"Normandy: Rouen, Honfleur, Etretat Small-group by Minivan with Calvados tasting",Excellent,1 rating,£169,13 hours,Viator
Paris City Tour with Private Friendly Guide and all Must-See Sites,Excellent,1 rating,£167,5 hours,Viator
Private Night Tour in Paris,Excellent,1 rating,£213,2-3 hours,Viator
"Visit Champagne area, meet local producers, start from Paris, lunch and Champagne tastings included",Excellent,1 rating,£196,10-12 hours,Viator
Withlocals LIVE Portrait Session with a Parisian Local Artist,Excellent,1 rating,£166,1-2 hours,Viator
Private Tour of Paris,Excellent,1 rating,£170,1-6 hours,Viator
Paris Food Tour: Gastronomic Delights of Paris with a Local Foodie ★★★★★,Excellent,1 rating,£220,3 hours,Viator
Private Pastry Tour in Le Marais,Excellent,1 rating,£215,2 hours,Viator
Disneyland Paris: Ticket 1 Day / 2 Parks + Transport,Excellent,1 rating,£166,8-10 hours,Viator
Private Auto Paris City Tour with Audio Guide,Excellent,1 rating,£185,3 hours,Viator
Full Coverage Paris Private City Tour,Excellent,1 rating,£174,4-5 hours,Viator
Paris City Of Lights Photoexploring Tour,Excellent,1 rating,£268,3 hours,Viator
Day trip from Paris : Fairytale Loire Castles Tour (Wine Testing),Excellent,1 rating,£212,12-13 hours,Viator
Versailles Palace Tour with Skip the Line Ticket and Licensed Guide,Excellent,1 rating,£268,4 hours,Viator
Normandy D-Day Tour Guided Small Group From Paris,Excellent,1 rating,£211,13 hours,Viator
"Paris Custom Private Tour, Montmartre to Champs Élysées with a Local Guide ★★★★★",Excellent,1 rating,£240,4-8 hours,Viator
Orsay Museum Private Tour,Excellent,1 rating,£272,2-3 hours,Viator
Day Trip to Mont Saint Michel from Paris,Excellent,1 rating,£255,10-12 hours,Viator
Giverny Private Half-Day Trip including Claude Monet' Gardens & House from Paris,Excellent,1 rating,£229,5 hours,Viator
Private Eiffel Tower Elevator Tour with Summit,Excellent,1 rating,£233,2 hours,Viator
Surprise in Pigalle: Private tour of the Gustave Moreau Museum,Excellent,1 rating,£225,2 hours,Viator
Versailles Guided Day Tour In Small Group with Skip the line Access,Excellent,1 rating,£225,9 hours,Viator
Russian cemetery of Sainte Geneviève des Bois (from your hotel in Paris),Excellent,1 rating,£254,4 hours,Viator
Private Sightseeing in Paris By Night,Excellent,1 rating,£243,3 hours,Viator
Ghost and Mysteries Walking Tour of Paris by Night,Excellent,1 rating,£246,2 hours,Viator
Retro Themed Photoshoot with a Pin-up Makeover at Maincy,Excellent,1 rating,£196,2-3 hours,Viator
Paris SuperSaver: Champagne Wine Tour and Paris Segway Tour,Excellent,1 rating,£276,8-10 hours,Viator
2 Hour Private Opera Garnier Guided Tour,Excellent,1 rating,£289,2 hours,Viator
France's Local Jewel: Private Day Trip to Chantilly,Excellent,1 rating,£290,6 hours,Viator
Normandy Small Group Trip with Lunch plus Liqueur & Calvados Tastings from Paris,Excellent,1 rating,£277,10 hours,Viator
Paris Private Full Day Tour – Skip the Line Tickets to Louvre & French Lunch,Excellent,1 rating,£292,6-8 hours,Viator
Full-Day Private Guided Tour of Champagne wih Hotel Pickup,Excellent,1 rating,£298,10 hours,Viator
Private Tour : Welcome to Orsay Museum,Excellent,1 rating,£323,2 hours,Viator
Mont Saint Michel and Honfleur Small Group Day Trip from Paris,Excellent,1 rating,£307,13 hours,Viator
Private tour of Paris by Bike,Excellent,1 rating,£247,3 hours,Viator
Private Photo Shoot in Paris,Excellent,1 rating,£322,1 hour,Viator
Luxembourg Garden Retreat,Excellent,1 rating,£279,3 hours,Viator
Private Night Tour in Paris with Indian Dinner,Excellent,1 rating,£298,3 hours,Viator
Versailles Private Half Day Guided Tour with Skip the Line Access from Paris,Excellent,1 rating,£282,4 hours,Viator
Loire Valley Full-Day Private Guided Tour with Hotel Pickup,Excellent,1 rating,£298,12 hours,Viator
Paris: Top Loire Castles with Lunch and Wine,Excellent,1 rating,£425,12 hours,GetYourGuide
CHANTILLY & COMPIEGNE PALACE (lunch in SENLIS ) -from your hotel in PARIS -,Excellent,1 rating,£362,8 hours,Viator
Giverny - Claude Monet's House & Gardens - Private Trip,Excellent,1 rating,£349,7 hours,Viator
Skip-the-line Private Louvre Museum Tour by Alberto Local Guide in Paris,Excellent,1 rating,£356,3 hours,Viator
La Mer De Sable Park - Private Trip,Excellent,1 rating,£368,9 hours,Viator
Private Paris Portrait Shoot,Excellent,1 rating,£357,3 hours,Viator
Private 4-hour city tour of Paris with driver and official guide - Hotel pick up,Excellent,1 rating,£357,4 hours,Viator
Paris Wine and Cheese Private Experience,Excellent,1 rating,£339,2-3 hours,Viator
Day or Night - l’Arc de Triomphe and the Champs-Élysées Discovery Private Tour,Excellent,1 rating,£335,2 hours,Viator
Kid-Friendly Private Louvre Tour in Paris,Excellent,1 rating,£356,2 hours,Viator
NORMANDY: Landing Beaches (Best Offer) - Private Day Trip from PARIS,Excellent,1 rating,£421,12 hours,Viator
"LOIRE VALLEY : Chenonceau, Valençay & Montresor ( the most beautiful village)",Excellent,1 rating,£421,12 hours,Viator
Mixed Private Historic Tour of Paris in Russian,Excellent,1 rating,£432,3-4 hours,Viator
Normandy D-Day Landing Beaches and The City of Rouen Day Trip from Paris,Excellent,1 rating,£383,10-12 hours,Viator
Cathedral Of Chartres - Private Trip,Excellent,1 rating,£386,8 hours,Viator
Pastry & Chocolate Family Tour in the Marais,Excellent,1 rating,£340,2-3 hours,Viator
LOIRE VALLEY: Your selection of three castles to visit (Day-trip from PARIS),Excellent,1 rating,£417,12 hours,Viator
Scavenger Hunt in the Covered Passages of Paris,Excellent,1 rating,£338,3 hours,Viator
Veuve Clicquot Tour From Paris,Excellent,1 rating,£357,11 hours,Viator
LOURDES : COME FOR A DAY - Private Day-trip from PARIS by High Speed Train,Excellent,1 rating,£459,14 hours,Viator
Private 5-hour tour to Palace of Versailles (skip the line) from Paris Hotel,Excellent,1 rating,£481,5 hours,Viator
Excursion to the Champagne region and Wine Tasting,Excellent,1 rating,£462,8-12 hours,Viator
Mont Saint Michel & Honfleur Private Day Trip from Paris,Excellent,1 rating,£527,13 hours,Viator
BURGUNDY : Unique Wine Tour from PARIS (Day-trip by TGV - High-speed train),Excellent,1 rating,£489,12 hours,Viator
The VIP Experience: Luxury Personal Shopping and Styling Experience in Paris,Excellent,1 rating,£508,3 hours,Viator
120 Minute Private Vacation Photography Session with Local Photographer in Paris,Excellent,1 rating,£525,2 hours,Viator
"2-day Normandy — Brittany Guided small-group by Minivan from Paris, 7 top sights",Excellent,1 rating,£540,2 days,Viator
Giverny Private Tour: Monet's House & Garden,Excellent,1 rating,£604,5 hours,Viator
2-Day Tour - St. Bernadette of Lourdes 175th anniversary,Excellent,1 rating,£617,2 days,Viator
Vineyards of Reims Full Day Private Champagne Tour with French Lunch from Paris,Excellent,1 rating,£555,10 hours,Viator
Private Full Day Tour to Versailles and Giverny from Paris with Hotel Pick Up,Excellent,1 rating,£698,8 hours,Viator
Castle Of Chenonceau - Private Trip,Excellent,1 rating,£671,11 hours,Viator
Customized 2-Day Private Tour in Paris,Excellent,1 rating,£672,2 days,Viator
the Royal Tower to visit the Chateau De Versailles,Excellent,1 rating,£605,4 hours,Viator
8-hours Private Sightseeing and Shopping Tour in Paris,Excellent,1 rating,£749,8 hours,Viator
Giverny & Versailles Skip the Line Private Day Trip with Audioguide from Paris,Excellent,1 rating,£638,9 hours,Viator
Chantilly Private Excursion,Excellent,1 rating,£778,6 hours,Viator
"Private Full Day Tour to Champagne from Paris, Visit of 2 Champagne Producers",Excellent,1 rating,£766,9 hours,Viator
Loire Valley 2 Days+one night VIP +train Ticket From Paris+4 Castles+wines,Excellent,1 rating,£766,2 days,Viator
Mont Saint Michel & Saint Malo 2 Days Tour from Paris,Excellent,1 rating,£766,2 days,Viator
Private Magical Mont Saint Michel Day Trip from Paris with a Local,Excellent,1 rating,£806,12 hours,Viator
Private day tour to Giverny Gardens and Rouen from Paris,Excellent,1 rating,£936,10 hours,Viator
Excursion CHATEAU DE VERSAILLES and GIVERNY in Limousine from Paris,Excellent,1 rating,"£1,165",8-12 hours,Viator
"Domaine de Chantilly in Mercedes S Class Limousine, Chateau, Stables and Museum",Excellent,1 rating,"£1,233",12 hours,Viator
"Chambord, Chenonceau and Amboise Private One-Day Tour from Paris",Excellent,1 rating,"£1,233",12 hours,Viator
Normandy Day Trip from Paris with Private Local Guide & Private Transportation,Excellent,1 rating,"£1,296",12 hours,Viator
Champagne Private Tour to Reims Cathedral MOET&CHANDON and Tasting,Excellent,1 rating,"£1,438",11 hours,Viator
"Mont St. Michel, D-Day Beaches & Loire Valley Castles, 3-Day Private from Paris",Excellent,1 rating,"£1,844",3 days,Viator
Helicopter Tour to Château de Vaux-le-Vicomte from Paris & Champagne Reception,Excellent,1 rating,"£3,662",4 hours,Viator
Montmartre and Sacre Coeur Walking Tour in Paris,Excellent,no data provided,£22,2 hours,Trip.com
Eiffel Tower Guided Tour ,Excellent,no data provided,£31,2 hours,Trip.com
Paris Walking Tour: Classic Paris,Excellent,no data provided,£21,2 hours,Trip.com
Paris at Christmas : Festive Shopping Past & Present,Excellent,no data provided,£22,2 hours,Trip.com
Immersive City Tour and Seine River Cruise,Excellent,no data provided,£34,2-3 hours,Trip.com
Seine River Cruise and Paris Canals Tour,Excellent,no data provided,£19,2-3 hours,Trip.com
The French Revolution - Paris Guided Historic Walk,Excellent,no data provided,£25,2 hours,Trip.com
Paris Segway Express Tour (12 monuments in 1 hour and 15 minutes),Excellent,no data provided,£30,1 hour,Trip.com
"Heart of Paris Walking Tour: Île de la Cité, Seine Cruise, Sainte Chapelle",Excellent,no data provided,£32,1-2 hours,Trip.com
"Ghosts, Mysteries and Legends: Night Walking Tour of Paris",Excellent,no data provided,£16,2 hours,Trip.com
Paris Winter Night Tour with Seine River Cruise & Champagne Option,Excellent,no data provided,£26,1-2 hours,Trip.com
Montmartre and Moulin Rouge and Sacré Coeur Walking Tour,Excellent,no data provided,£43,2 hours,Trip.com
Skip the Line: 2nd Level Eiffel Tower Ticket and Small-Group Tour,Excellent,no data provided,£42,No data provided,Trip.com
Guided Visit of the Eiffel Tower With Priority Access & Optional Cruise,Excellent,no data provided,£48,3 hours,Trip.com
Paris Local Districts and Stories Off the Beaten Track Guided Bike Tour,Excellent,no data provided,£39,3-4 hours,Trip.com
Paris St-Ouen Flea Market Bargain-Hunting Guided Tour with a Local Guide,Excellent,no data provided,£26,1-2 hours,Trip.com
Paris Père Lachaise Cemetery: Famous Graves of Paris Walking Tour,Excellent,no data provided,£11,2 hours,Trip.com
City bike tour on a dutch bike,Excellent,no data provided,£25,3 hours,Trip.com
Arc de Triomphe and Seine River Cruise ,Excellent,no data provided,£22,1-3 hours,Trip.com
Tootbus Paris Discovery: Hop-On Hop-Off Bus Tour,Excellent,no data provided,£34,2 days,Trip.com
Paris by Night City of Lights Sightseeing Guided Bike Tour,Excellent,no data provided,£38,4 hours,Trip.com
Stade de France: Behind the Scenes Tour,Excellent,no data provided,£13,1-2 hours,Trip.com
Eiffel Tower Tour with Direct Elevator Access to Summit,Excellent,no data provided,£38,No data provided,Trip.com
Big Bus Paris Hop-On Hop-Off Tour,Excellent,no data provided,£30,2 hours,Trip.com
Paris Wine and Cheese Pairing Small-Group Experience,Excellent,no data provided,£46,1-2 hours,Trip.com
Louvre Museum Skip-the-Line Guided Tour with Venus de Milo & Mona Lisa,Excellent,no data provided,£48,3 hours,Trip.com
